[INFO ] [2021-09-17 13:55:52,081] Pre-Condition - Open browser 'firefox' with url: 'https://admin-demo.nopcommerce.com/login?ReturnUrl=/admin/'
[INFO ] [2021-09-17 13:55:55,660] Post-Condition - Close browser 'firefox'
[INFO ] [2021-09-17 13:55:55,660] OS name = windows 10
[INFO ] [2021-09-17 13:55:55,660] 
[INFO ] [2021-09-17 13:55:55,742] Pre-Condition - Open browser 'chrome' with url: 'https://admin-demo.nopcommerce.com/login?ReturnUrl=/admin/'
[INFO ] [2021-09-17 13:56:01,443] Post-Condition - Close browser 'chrome'
[INFO ] [2021-09-17 13:56:01,444] OS name = windows 10
[INFO ] [2021-09-17 13:56:21,802] Pre-Condition - Open browser 'firefox' with url: 'https://admin-demo.nopcommerce.com/login?ReturnUrl=/admin/'
[INFO ] [2021-09-17 13:56:25,065] Post-Condition - Close browser 'firefox'
[INFO ] [2021-09-17 13:56:25,066] OS name = windows 10
[INFO ] [2021-09-17 13:56:25,066] 
[INFO ] [2021-09-17 13:56:25,148] Pre-Condition - Open browser 'chrome' with url: 'https://admin-demo.nopcommerce.com/login?ReturnUrl=/admin/'
[INFO ] [2021-09-17 13:56:28,509] Admin_00 - Step 1: Open 'Admin Nopcommerce' page
[INFO ] [2021-09-17 13:56:28,513] Admin_00 - Step 2: Input data to Email textbox admin@yourstore.com
[INFO ] [2021-09-17 13:56:28,739] Admin_00 - Step 3: Input data to Password textbox admin
[INFO ] [2021-09-17 13:56:28,931] Admin_00 - Step 4: Verify Dashboard Header Text is displayed
[INFO ] [2021-09-17 13:56:44,904]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 13:56:44,913] Admin_01 - Step 1: At Dashboard Page, click to menu 'Catalog' and submenu 'Products'
[INFO ] [2021-09-17 13:56:48,016] Admin_01 - Step 2: Input 'Lenovo IdeaCentre 600 All-in-One PC' to textbox Product Name
[INFO ] [2021-09-17 13:56:48,276] Admin_01 - Step 3: Click to Seach button
[INFO ] [2021-09-17 13:56:49,409] Admin_01 - Step 4: Verify only 1 item displayed
[INFO ] [2021-09-17 13:56:49,479]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 13:56:49,479] Admin_01 - Step 5: Verify data is displayed with 'Lenovo IdeaCentre 600 All-in-One PC','LE_IC_600','500','10000'
[INFO ] [2021-09-17 13:56:49,543]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 13:56:49,548] Admin_02 - Step 1: Refresh Product Search Page
[INFO ] [2021-09-17 13:56:51,772] Admin_02 - Step 2: Input 'Lenovo IdeaCentre 600 All-in-One PC' to textbox Product Name
[INFO ] [2021-09-17 13:56:52,045] Admin_02 - Step 3: Select 'Computers' from Dropdown Category
[INFO ] [2021-09-17 13:56:52,213] Admin_02 - Step 4: Click to Seach button
[INFO ] [2021-09-17 13:56:52,334] Admin_02 - Step 5: Verify No Data message is displayed
[INFO ] [2021-09-17 13:56:53,100]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 13:56:53,106] Admin_03 - Step 1: Refresh Product Search Page
[INFO ] [2021-09-17 13:56:55,149] Admin_03 - Step 2: Input 'Lenovo IdeaCentre 600 All-in-One PC' to textbox Product Name
[INFO ] [2021-09-17 13:56:55,403] Admin_03 - Step 3: Select 'Computers' from Dropdown Category
[INFO ] [2021-09-17 13:56:55,558] Admin_03 - Step 4: Check to checkbox Sub Categories
[INFO ] [2021-09-17 13:56:55,713] Admin_03 - Step 5: Click to Seach button
[INFO ] [2021-09-17 13:56:56,838] Admin_03 - Step 6: Verify only 1 item displayed
[INFO ] [2021-09-17 13:56:56,892]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 13:56:56,892] Admin_03 - Step 7: Verify data is displayed with 'Lenovo IdeaCentre 600 All-in-One PC','LE_IC_600','500','10000'
[INFO ] [2021-09-17 13:56:56,957]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 13:56:56,962] Admin_04 - Step 1: Refresh Product Search Page
[INFO ] [2021-09-17 13:58:26,835] Pre-Condition - Open browser 'firefox' with url: 'https://admin-demo.nopcommerce.com/login?ReturnUrl=/admin/'
[INFO ] [2021-09-17 13:58:36,368] Admin_00 - Step 1: Open 'Admin Nopcommerce' page
[INFO ] [2021-09-17 13:58:36,371] Admin_00 - Step 2: Input data to Email textbox admin@yourstore.com
[INFO ] [2021-09-17 13:58:36,569] Admin_00 - Step 3: Input data to Password textbox admin
[INFO ] [2021-09-17 13:58:36,700] Admin_00 - Step 4: Verify Dashboard Header Text is displayed
[INFO ] [2021-09-17 13:58:45,376]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 13:58:45,508] Admin_01 - Step 1: At Dashboard Page, click to menu 'Catalog' and submenu 'Products'
[INFO ] [2021-09-17 13:58:48,205] Admin_01 - Step 2: Input 'Lenovo IdeaCentre 600 All-in-One PC' to textbox Product Name
[INFO ] [2021-09-17 13:58:48,390] Admin_01 - Step 3: Click to Seach button
[INFO ] [2021-09-17 13:58:50,144] Admin_01 - Step 4: Verify only 1 item displayed
[INFO ] [2021-09-17 13:58:50,226]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 13:58:50,226] Admin_01 - Step 5: Verify data is displayed with 'Lenovo IdeaCentre 600 All-in-One PC','LE_IC_600','500','10000'
[INFO ] [2021-09-17 13:58:50,299]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 13:58:50,305] Admin_02 - Step 1: Refresh Product Search Page
[INFO ] [2021-09-17 13:58:52,510] Admin_02 - Step 2: Input 'Lenovo IdeaCentre 600 All-in-One PC' to textbox Product Name
[INFO ] [2021-09-17 13:58:52,651] Admin_02 - Step 3: Select 'Computers' from Dropdown Category
